biomolecule_id,UniqueID,standardized_name,LipidCategoty,LipidClass,MainClass,SubClass,NumFattyAcylCarbons,NumFattyAcylUnsaturations,AverageUnsaturations,UnsaturationLevel,omics_id,keep
38189,14.237_424.34181,AC 18:2_RTmz_14.237_424.34181,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,18,2,2,Medium,2,1
38190,14.259_424.36294,AC 18:2_RTmz_14.259_424.36294,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,18,2,2,Medium,2,0; NoLinearRangeFound
38191,14.539_424.34217,AC 18:2_RTmz_14.539_424.34217,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,18,2,2,Medium,2,0; LowPeakQualityScore
38192,13.852_422.32615,AC 18:3_RTmz_13.852_422.32615,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,18,3,3,High,2,0; NA
38193,14.091_422.32608,AC 18:3_RTmz_14.091_422.32608,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,18,3,3,High,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38194,14.423_450.29789,AC 20:3_RTmz_14.423_450.29789,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,20,3,3,High,2,"0; LowPeakQualityScore, NoLinearRangeFound"
38195,14.503_450.35794,AC 20:3_RTmz_14.503_450.35794,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,20,3,3,High,2,1
38196,35.868_810.79025,Alkanyl-TG O-16:0_16:0_16:0_RTmz_35.868_810.79025,Glycerolipids,Alkanyl-TG,Triradylglycerols,Triacylglycerols,48,0,0,Very Low,2,0; LowPeakQualityScore
38197,36.646_838.82153,Alkanyl-TG O-18:0_16:0_16:0_RTmz_36.646_838.82153,Glycerolipids,Alkanyl-TG,Triradylglycerols,Triacylglycerols,50,0,0,Very Low,2,0; LowPeakQualityScore
38198,35.766_836.61657,Alkanyl-TG O-50:1_RTmz_35.766_836.61657,Glycerolipids,Alkanyl-TG,Triradylglycerols,Triacylglycerols,50,1,0.3333333333333333,Very Low,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38199,35.824_836.80573,Alkanyl-TG O-50:1_RTmz_35.824_836.80573,Glycerolipids,Alkanyl-TG,Triradylglycerols,Triacylglycerols,50,1,0.3333333333333333,Very Low,2,1
38200,36.596_864.8373,Alkanyl-TG O-52:1_RTmz_36.596_864.8373,Glycerolipids,Alkanyl-TG,Triradylglycerols,Triacylglycerols,52,1,0.3333333333333333,Very Low,2,1
38201,37.278_892.86868,Alkanyl-TG O-54:1_RTmz_37.278_892.86868,Glycerolipids,Alkanyl-TG,Triradylglycerols,Triacylglycerols,54,1,0.3333333333333333,Very Low,2,1
38202,35.098_834.79025,Alkanyl-TG O-50:2_RTmz_35.098_834.79025,Glycerolipids,Alkanyl-TG,Triradylglycerols,Triacylglycerols,50,2,0.6666666666666666,Low,2,"0; LowPeakQualityScore, NoLinearRangeFound"
38203,35.771_862.82138,Alkenyl-TG P-52:1_RTmz_35.771_862.82138,Glycerolipids,Alkenyl-TG,Triradylglycerols,Triacylglycerols,52,1,0.3333333333333333,Very Low,2,0; NA
38204,36.542_890.85305,Alkenyl-TG P-54:1_RTmz_36.542_890.85305,Glycerolipids,Alkenyl-TG,Triradylglycerols,Triacylglycerols,54,1,0.3333333333333333,Very Low,2,"0; LowPeakQualityScore, NoLinearRangeFound"
38205,35.066_860.80565,Alkenyl-TG P-52:2_RTmz_35.066_860.80565,Glycerolipids,Alkenyl-TG,Triradylglycerols,Triacylglycerols,52,2,0.6666666666666666,Low,2,0; NA
38206,35.857_860.77091,Alkenyl-TG P-52:2_RTmz_35.857_860.77091,Glycerolipids,Alkenyl-TG,Triradylglycerols,Triacylglycerols,52,2,0.6666666666666666,Low,2,"0; HighRsd, LowPeakQualityScore"
38207,33.305_586.5559,CE 12:0_RTmz_33.305_586.5559,Sterol Lipids,CE,Sterols,Steryl esters,12,0,0,Very Low,2,1
38208,34.26_614.58666,CE 14:0_RTmz_34.26_614.58666,Sterol Lipids,CE,Sterols,Steryl esters,14,0,0,Very Low,2,1
38209,34.561_628.60262,CE 15:0_RTmz_34.561_628.60262,Sterol Lipids,CE,Sterols,Steryl esters,15,0,0,Very Low,2,0; NoLinearRangeFound
38210,34.767_628.60264,CE 15:0_RTmz_34.767_628.60264,Sterol Lipids,CE,Sterols,Steryl esters,15,0,0,Very Low,2,1
38211,35.035_642.6177,CE 16:0_RTmz_35.035_642.6177,Sterol Lipids,CE,Sterols,Steryl esters,16,0,0,Very Low,2,0; NoLinearRangeFound
38212,35.276_642.61815,CE 16:0_RTmz_35.276_642.61815,Sterol Lipids,CE,Sterols,Steryl esters,16,0,0,Very Low,2,1
38213,35.539_656.63347,CE 17:0_RTmz_35.539_656.63347,Sterol Lipids,CE,Sterols,Steryl esters,17,0,0,Very Low,2,0; NA
38214,35.74_656.63358,CE 17:0_RTmz_35.74_656.63358,Sterol Lipids,CE,Sterols,Steryl esters,17,0,0,Very Low,2,1
38215,35.668_670.64907,CE 18:0_RTmz_35.668_670.64907,Sterol Lipids,CE,Sterols,Steryl esters,18,0,0,Very Low,2,0; LowPeakQualityScore
38216,35.868_670.64883,CE 18:0_RTmz_35.868_670.64883,Sterol Lipids,CE,Sterols,Steryl esters,18,0,0,Very Low,2,0; LowPeakQualityScore
38217,36.204_670.64916,CE 18:0_RTmz_36.204_670.64916,Sterol Lipids,CE,Sterols,Steryl esters,18,0,0,Very Low,2,1
38218,36.166_698.60775,CE 20:0_RTmz_36.166_698.60775,Sterol Lipids,CE,Sterols,Steryl esters,20,0,0,Very Low,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38219,36.451_698.60793,CE 20:0_RTmz_36.451_698.60793,Sterol Lipids,CE,Sterols,Steryl esters,20,0,0,Very Low,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38220,36.753_698.60833,CE 20:0_RTmz_36.753_698.60833,Sterol Lipids,CE,Sterols,Steryl esters,20,0,0,Very Low,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38221,36.928_698.60814,CE 20:0_RTmz_36.928_698.60814,Sterol Lipids,CE,Sterols,Steryl esters,20,0,0,Very Low,2,"0; HighRsd, LowPeakQualityScore"
38222,37.067_698.68078,CE 20:0_RTmz_37.067_698.68078,Sterol Lipids,CE,Sterols,Steryl esters,20,0,0,Very Low,2,1
38223,33.328_612.57129,CE 14:1_RTmz_33.328_612.57129,Sterol Lipids,CE,Sterols,Steryl esters,14,1,1,Low,2,1
38224,34.249_640.60208,CE 16:1_RTmz_34.249_640.60208,Sterol Lipids,CE,Sterols,Steryl esters,16,1,1,Low,2,1
38225,34.743_654.61835,CE 17:1_RTmz_34.743_654.61835,Sterol Lipids,CE,Sterols,Steryl esters,17,1,1,Low,2,1
38226,34.824_654.33211,CE 17:1_RTmz_34.824_654.33211,Sterol Lipids,CE,Sterols,Steryl esters,17,1,1,Low,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38227,34.813_668.63388,CE 18:1_RTmz_34.813_668.63388,Sterol Lipids,CE,Sterols,Steryl esters,18,1,1,Low,2,1
38228,35.217_668.63367,CE 18:1_RTmz_35.217_668.63367,Sterol Lipids,CE,Sterols,Steryl esters,18,1,1,Low,2,1
38229,35.822_696.66468,CE 20:1_RTmz_35.822_696.66468,Sterol Lipids,CE,Sterols,Steryl esters,20,1,1,Low,2,1
38230,36.107_696.66488,CE 20:1_RTmz_36.107_696.66488,Sterol Lipids,CE,Sterols,Steryl esters,20,1,1,Low,2,1
38231,33.922_652.60271,CE 17:2_RTmz_33.922_652.60271,Sterol Lipids,CE,Sterols,Steryl esters,17,2,2,Medium,2,1
38232,34.385_666.61768,CE 18:2_RTmz_34.385_666.61768,Sterol Lipids,CE,Sterols,Steryl esters,18,2,2,Medium,2,1
38233,34.671_666.61852,CE 18:2_RTmz_34.671_666.61852,Sterol Lipids,CE,Sterols,Steryl esters,18,2,2,Medium,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38234,34.897_666.61779,CE 18:2_RTmz_34.897_666.61779,Sterol Lipids,CE,Sterols,Steryl esters,18,2,2,Medium,2,0; NA
38235,34.965_694.64865,CE 20:2_RTmz_34.965_694.64865,Sterol Lipids,CE,Sterols,Steryl esters,20,2,2,Medium,2,1
38236,35.285_694.64937,CE 20:2_RTmz_35.285_694.64937,Sterol Lipids,CE,Sterols,Steryl esters,20,2,2,Medium,2,"0; LowPeakQualityScore, NoLinearRangeFound"
38237,33.708_664.60163,CE 18:3_RTmz_33.708_664.60163,Sterol Lipids,CE,Sterols,Steryl esters,18,3,3,High,2,1
38238,34.254_692.63354,CE 20:3_RTmz_34.254_692.63354,Sterol Lipids,CE,Sterols,Steryl esters,20,3,3,High,2,0; HighRTModelError
38239,34.527_692.63282,CE 20:3_RTmz_34.527_692.63282,Sterol Lipids,CE,Sterols,Steryl esters,20,3,3,High,2,1
38240,33.055_662.58638,CE 18:4_RTmz_33.055_662.58638,Sterol Lipids,CE,Sterols,Steryl esters,18,4,4,Very High,2,1
38241,33.997_690.61811,CE 20:4_RTmz_33.997_690.61811,Sterol Lipids,CE,Sterols,Steryl esters,20,4,4,Very High,2,1
38242,34.596_718.64962,CE 22:4_RTmz_34.596_718.64962,Sterol Lipids,CE,Sterols,Steryl esters,22,4,4,Very High,2,0; HighRTModelError
38243,35.399_746.59279,CE 24:4_RTmz_35.399_746.59279,Sterol Lipids,CE,Sterols,Steryl esters,24,4,4,Very High,2,1
38244,33.328_688.60229,CE 20:5_RTmz_33.328_688.60229,Sterol Lipids,CE,Sterols,Steryl esters,20,5,5,Very High,2,1
38245,34.301_716.63372,CE 22:5_RTmz_34.301_716.63372,Sterol Lipids,CE,Sterols,Steryl esters,22,5,5,Very High,2,1
38246,33.639_714.617,CE 22:6_RTmz_33.639_714.617,Sterol Lipids,CE,Sterols,Steryl esters,22,6,6,Very High,2,1
38247,26.632_578.58714,Cer[NS] d38:0_RTmz_26.632_578.58714,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,38,0,0,Very Low,2,1
38248,28.863_606.61802,Cer[NS] d40:0_RTmz_28.863_606.61802,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,40,0,0,Very Low,2,1
38249,29.951_620.63367,Cer[NS] d41:0_RTmz_29.951_620.63367,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,41,0,0,Very Low,2,1
38250,30.49_634.64933,Cer[NS] d42:0_RTmz_30.49_634.64933,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,42,0,0,Very Low,2,0; HighRTModelError
38251,30.616_634.64922,Cer[NS] d42:0_RTmz_30.616_634.64922,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,42,0,0,Very Low,2,1
38252,25.91_562.55518,Cer[NS] d37:1_RTmz_25.91_562.55518,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,37,1,0.5,Very Low,2,1
38253,27.013_594.5815,Cer[NS] d38:1_RTmz_27.013_594.5815,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,38,1,0.5,Very Low,2,1
38254,27.335_594.3765,Cer[NS] d38:1_RTmz_27.335_594.3765,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,38,1,0.5,Very Low,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38255,28.114_608.59719,Cer[NS] d39:1_RTmz_28.114_608.59719,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,39,1,0.5,Very Low,2,1
38256,27.142_604.60215,Unknown_RTmz_27.142_604.60215,NA,NA,NA,NA,NA,NA,NA,NA,2,0; Notfound_in_50pecent_samples
38257,28.821_622.40778,Cer[NS] d40:1_RTmz_28.821_622.40778,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,40,1,0.5,Very Low,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38258,29.085_622.40832,Cer[NS] d40:1_RTmz_29.085_622.40832,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,40,1,0.5,Very Low,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38259,29.256_622.61284,Cer[NS] d40:1_RTmz_29.256_622.61284,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,40,1,0.5,Very Low,2,1
38260,29.885_618.61793,Cer[NS] d41:1_RTmz_29.885_618.61793,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,41,1,0.5,Very Low,2,0; NoLinearRangeFound
38261,30.233_618.61775,Cer[NS] d41:1_RTmz_30.233_618.61775,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,41,1,0.5,Very Low,2,1
38262,28.772_632.63357,Unknown_RTmz_28.772_632.63357,NA,NA,NA,NA,NA,NA,NA,NA,2,1
38263,30.196_650.64412,Cer[NS] d42:1_RTmz_30.196_650.64412,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,42,1,0.5,Very Low,2,"0; LowPeakQualityScore, NoLinearRangeFound"
38264,30.595_650.64423,Cer[NS] d42:1_RTmz_30.595_650.64423,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,42,1,0.5,Very Low,2,0; NA
38265,30.79_650.64396,Cer[NS] d42:1_RTmz_30.79_650.64396,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,42,1,0.5,Very Low,2,1
38266,30.982_632.63386,Cer[NS] d42:1_RTmz_30.982_632.63386,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,42,1,0.5,Very Low,2,"0; HighRsd, LowPeakQualityScore"
38267,31.031_664.65985,Cer[NS] d43:1_RTmz_31.031_664.65985,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,43,1,0.5,Very Low,2,0; NA
38268,31.216_664.65988,Cer[NS] d43:1_RTmz_31.216_664.65988,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,43,1,0.5,Very Low,2,1
38269,31.432_678.67546,Cer[NS] d44:1_RTmz_31.432_678.67546,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,44,1,0.5,Very Low,2,"0; HighRsd, LowPeakQualityScore"
38270,31.607_678.67538,Cer[NS] d44:1_RTmz_31.607_678.67538,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,44,1,0.5,Very Low,2,1
38271,26.909_620.597,Cer[NS] d40:2_RTmz_26.909_620.597,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,40,2,1,Low,2,0; NoLinearRangeFound
38272,27.257_620.59716,Cer[NS] d40:2_RTmz_27.257_620.59716,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,40,2,1,Low,2,1
38273,28.003_616.60212,Cer[NS] d41:2_RTmz_28.003_616.60212,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,41,2,1,Low,2,0; NoLinearRangeFound
38274,28.367_616.60223,Cer[NS] d41:2_RTmz_28.367_616.60223,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,41,2,1,Low,2,1
38275,29.132_648.62857,Cer[NS] d42:2_RTmz_29.132_648.62857,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,42,2,1,Low,2,0; NA
38276,29.487_648.62869,Cer[NS] d42:2_RTmz_29.487_648.62869,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,42,2,1,Low,2,1
38277,30.255_648.62854,Cer[NS] d42:2_RTmz_30.255_648.62854,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,42,2,1,Low,2,0; NoLinearRangeFound
38278,29.752_662.6443,Cer[NS] d43:2_RTmz_29.752_662.6443,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,43,2,1,Low,2,0; NoLinearRangeFound
38279,30.129_662.64433,Cer[NS] d43:2_RTmz_30.129_662.64433,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,43,2,1,Low,2,"0; LowPeakQualityScore, NoLinearRangeFound"
38280,30.369_662.64427,Cer[NS] d43:2_RTmz_30.369_662.64427,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,43,2,1,Low,2,1
38281,30.727_676.65974,Cer[NS] d44:2_RTmz_30.727_676.65974,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,44,2,1,Low,2,1
38282,27.16_646.61277,Cer[NS] d42:3_RTmz_27.16_646.61277,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,42,3,1.5,Medium,2,1
38283,18.69_698.55583,CerP d18:1_22:2_RTmz_18.69_698.55583,Sphingolipids,CerP,Ceramides,Ceramide 1-phosphates,40,3,3,High,2,1
38284,33.267_890.78063,d5TG 16:0_17:0_19:0_RTmz_33.267_890.78063,NA,d5TG,NA,NA,52,0,NA,Unknown,2,1
38285,33.688_887.78797,d5TG 53:6_RTmz_33.688_887.78797,NA,d5TG,NA,NA,53,6,NA,Unknown,2,0; LowPeakQualityScore
38286,34.693_929.83617,d5TG 56:6_RTmz_34.693_929.83617,NA,d5TG,NA,NA,56,6,NA,Unknown,2,0; LowPeakQualityScore
38287,24.333_558.50903,DG 14:0_16:0_RTmz_24.333_558.50903,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,30,0,0,Very Low,2,1
38288,26.492_586.54065,DG 16:0_16:0_RTmz_26.492_586.54065,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,32,0,0,Very Low,2,1
38289,28.73_614.57167,DG 16:0_18:0_RTmz_28.73_614.57167,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,34,0,0,Very Low,2,1
38290,30.573_642.60279,DG 36:0_RTmz_30.573_642.60279,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,36,0,0,Very Low,2,1
38291,32.265_698.60788,DG 40:0_RTmz_32.265_698.60788,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,40,0,0,Very Low,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38292,32.394_698.60806,DG 40:0_RTmz_32.394_698.60806,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,40,0,0,Very Low,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38293,24.538_584.52462,DG 32:1_RTmz_24.538_584.52462,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,32,1,0.5,Very Low,2,1
38294,25.497_584.50321,DG 32:1_RTmz_25.497_584.50321,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,32,1,0.5,Very Low,2,1
38295,25.575_598.54032,DG 33:1_RTmz_25.575_598.54032,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,33,1,0.5,Very Low,2,1
38296,27.77_626.5714,DG 35:1_RTmz_27.77_626.5714,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,35,1,0.5,Very Low,2,1
38297,28.9_640.5871,DG 18:1_18:0_RTmz_28.9_640.5871,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,36,1,0.5,Very Low,2,1
38298,29.124_668.61846,DG 18:1_20:0_RTmz_29.124_668.61846,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,38,1,0.5,Very Low,2,"0; HighRTModelError, LowPeakQualityScore"
38299,30.642_668.61829,DG 18:1_20:0_RTmz_30.642_668.61829,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,38,1,0.5,Very Low,2,1
38300,31.477_696.64956,DG 18:1_22:0_RTmz_31.477_696.64956,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,40,1,0.5,Very Low,2,0; LowPeakQualityScore
38301,23.015_582.50947,DG 14:0_18:2_RTmz_23.015_582.50947,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,32,2,1,Low,2,1
38302,24.73_610.53984,DG 16:1_18:1_RTmz_24.73_610.53984,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,34,2,1,Low,2,1
38303,25.03_610.53967,DG 16:0_18:2_RTmz_25.03_610.53967,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,34,2,1,Low,2,1
38304,25.485_610.53909,DG 34:2_RTmz_25.485_610.53909,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,34,2,1,Low,2,0; NoLinearRangeFound
38305,25.758_624.55564,DG 35:2_RTmz_25.758_624.55564,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,35,2,1,Low,2,1
38306,26.096_624.55552,DG 35:2_RTmz_26.096_624.55552,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,35,2,1,Low,2,1
38307,26.836_638.57099,DG 18:1_18:1_RTmz_26.836_638.57099,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,36,2,1,Low,2,1
38308,27.186_638.57135,DG 36:2_RTmz_27.186_638.57135,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,36,2,1,Low,2,0; NA
38309,21.305_580.3612,DG 14:1_18:2_RTmz_21.305_580.3612,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,32,3,1.5,Medium,2,"0; HighRsd, LowPeakQualityScore"
38310,23.205_608.52461,DG 16:1_18:2_RTmz_23.205_608.52461,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,34,3,1.5,Medium,2,1
38311,23.491_608.39391,DG 34:3_RTmz_23.491_608.39391,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,34,3,1.5,Medium,2,"0; LowPeakQualityScore, NoLinearRangeFound"
38312,23.662_608.52463,DG 34:3_RTmz_23.662_608.52463,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,34,3,1.5,Medium,2,1
38313,23.938_608.52425,DG 16:0_18:3_RTmz_23.938_608.52425,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,34,3,1.5,Medium,2,"0; LowPeakQualityScore, NoLinearRangeFound"
38314,24.186_622.54016,DG 17:1_18:2_RTmz_24.186_622.54016,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,35,3,1.5,Medium,2,1
38315,25.216_636.55527,DG 18:2_18:1_RTmz_25.216_636.55527,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,36,3,1.5,Medium,2,1
38316,25.57_636.55584,DG 36:3_RTmz_25.57_636.55584,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,36,3,1.5,Medium,2,0; NA
38317,27.192_664.58704,DG 38:3_RTmz_27.192_664.58704,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,38,3,1.5,Medium,2,1
38318,23.679_634.53983,DG 36:4_RTmz_23.679_634.53983,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,36,4,2,Medium,2,1
38319,24.728_634.53988,DG 36:4_RTmz_24.728_634.53988,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,36,4,2,Medium,2,1
38320,25.542_662.5711,DG 38:4_RTmz_25.542_662.5711,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,38,4,2,Medium,2,1
38321,25.806_662.57132,DG 38:4_RTmz_25.806_662.57132,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,38,4,2,Medium,2,1
38322,26.874_662.57123,DG 18:0_20:4_RTmz_26.874_662.57123,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,38,4,2,Medium,2,1
38323,22.631_632.52468,DG 18:3_18:2_RTmz_22.631_632.52468,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,36,5,2.5,High,2,1
38324,24.228_660.55562,DG 18:2_20:3_RTmz_24.228_660.55562,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,38,5,2.5,High,2,1
38325,24.904_660.55548,DG 38:5_RTmz_24.904_660.55548,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,38,5,2.5,High,2,1
38326,26.47_688.58732,DG 18:1_22:4_RTmz_26.47_688.58732,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,40,5,2.5,High,2,1
38327,23.377_658.53978,DG 38:6_RTmz_23.377_658.53978,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,38,6,3,High,2,1
