"biomolecule_id","UniqueID","standardized_name","omics_id","keep"
38223,"33.328_612.57129","CE 14:1_RTmz_33.328_612.57129",2,"1"
38224,"34.249_640.60208","CE 16:1_RTmz_34.249_640.60208",2,"1"
38225,"34.743_654.61835","CE 17:1_RTmz_34.743_654.61835",2,"1"
38226,"34.824_654.33211","CE 17:1_RTmz_34.824_654.33211",2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38227,"34.813_668.63388","CE 18:1_RTmz_34.813_668.63388",2,"1"
38228,"35.217_668.63367","CE 18:1_RTmz_35.217_668.63367",2,"1"
38229,"35.822_696.66468","CE 20:1_RTmz_35.822_696.66468",2,"1"
38230,"36.107_696.66488","CE 20:1_RTmz_36.107_696.66488",2,"1"
38231,"33.922_652.60271","CE 17:2_RTmz_33.922_652.60271",2,"1"
38232,"34.385_666.61768","CE 18:2_RTmz_34.385_666.61768",2,"1"
38233,"34.671_666.61852","CE 18:2_RTmz_34.671_666.61852",2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38234,"34.897_666.61779","CE 18:2_RTmz_34.897_666.61779",2,"0; NA"
38235,"34.965_694.64865","CE 20:2_RTmz_34.965_694.64865",2,"1"
38236,"35.285_694.64937","CE 20:2_RTmz_35.285_694.64937",2,"0; LowPeakQualityScore, NoLinearRangeFound"
38237,"33.708_664.60163","CE 18:3_RTmz_33.708_664.60163",2,"1"
38238,"34.254_692.63354","CE 20:3_RTmz_34.254_692.63354",2,"0; HighRTModelError"
38239,"34.527_692.63282","CE 20:3_RTmz_34.527_692.63282",2,"1"
38240,"33.055_662.58638","CE 18:4_RTmz_33.055_662.58638",2,"1"
38241,"33.997_690.61811","CE 20:4_RTmz_33.997_690.61811",2,"1"
38242,"34.596_718.64962","CE 22:4_RTmz_34.596_718.64962",2,"0; HighRTModelError"
38243,"35.399_746.59279","CE 24:4_RTmz_35.399_746.59279",2,"1"
38244,"33.328_688.60229","CE 20:5_RTmz_33.328_688.60229",2,"1"
38245,"34.301_716.63372","CE 22:5_RTmz_34.301_716.63372",2,"1"
38246,"33.639_714.617","CE 22:6_RTmz_33.639_714.617",2,"1"
38247,"26.632_578.58714","Cer[NS] d38:0_RTmz_26.632_578.58714",2,"1"
38248,"28.863_606.61802","Cer[NS] d40:0_RTmz_28.863_606.61802",2,"1"
38249,"29.951_620.63367","Cer[NS] d41:0_RTmz_29.951_620.63367",2,"1"
38250,"30.49_634.64933","Cer[NS] d42:0_RTmz_30.49_634.64933",2,"0; HighRTModelError"
38251,"30.616_634.64922","Cer[NS] d42:0_RTmz_30.616_634.64922",2,"1"
38252,"25.91_562.55518","Cer[NS] d37:1_RTmz_25.91_562.55518",2,"1"
38253,"27.013_594.5815","Cer[NS] d38:1_RTmz_27.013_594.5815",2,"1"
38254,"27.335_594.3765","Cer[NS] d38:1_RTmz_27.335_594.3765",2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38255,"28.114_608.59719","Cer[NS] d39:1_RTmz_28.114_608.59719",2,"1"
38256,"27.142_604.60215","Unknown_RTmz_27.142_604.60215",2,"0; Notfound_in_50pecent_samples"
38257,"28.821_622.40778","Cer[NS] d40:1_RTmz_28.821_622.40778",2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38258,"29.085_622.40832","Cer[NS] d40:1_RTmz_29.085_622.40832",2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38259,"29.256_622.61284","Cer[NS] d40:1_RTmz_29.256_622.61284",2,"1"
38260,"29.885_618.61793","Cer[NS] d41:1_RTmz_29.885_618.61793",2,"0; NoLinearRangeFound"
38261,"30.233_618.61775","Cer[NS] d41:1_RTmz_30.233_618.61775",2,"1"
38262,"28.772_632.63357","Unknown_RTmz_28.772_632.63357",2,"1"
38263,"30.196_650.64412","Cer[NS] d42:1_RTmz_30.196_650.64412",2,"0; LowPeakQualityScore, NoLinearRangeFound"
38264,"30.595_650.64423","Cer[NS] d42:1_RTmz_30.595_650.64423",2,"0; NA"
38265,"30.79_650.64396","Cer[NS] d42:1_RTmz_30.79_650.64396",2,"1"
38266,"30.982_632.63386","Cer[NS] d42:1_RTmz_30.982_632.63386",2,"0; HighRsd, LowPeakQualityScore"
38267,"31.031_664.65985","Cer[NS] d43:1_RTmz_31.031_664.65985",2,"0; NA"
38268,"31.216_664.65988","Cer[NS] d43:1_RTmz_31.216_664.65988",2,"1"
38269,"31.432_678.67546","Cer[NS] d44:1_RTmz_31.432_678.67546",2,"0; HighRsd, LowPeakQualityScore"
38270,"31.607_678.67538","Cer[NS] d44:1_RTmz_31.607_678.67538",2,"1"
38271,"26.909_620.597","Cer[NS] d40:2_RTmz_26.909_620.597",2,"0; NoLinearRangeFound"
38272,"27.257_620.59716","Cer[NS] d40:2_RTmz_27.257_620.59716",2,"1"
38273,"28.003_616.60212","Cer[NS] d41:2_RTmz_28.003_616.60212",2,"0; NoLinearRangeFound"
38274,"28.367_616.60223","Cer[NS] d41:2_RTmz_28.367_616.60223",2,"1"
38275,"29.132_648.62857","Cer[NS] d42:2_RTmz_29.132_648.62857",2,"0; NA"
38276,"29.487_648.62869","Cer[NS] d42:2_RTmz_29.487_648.62869",2,"1"
38277,"30.255_648.62854","Cer[NS] d42:2_RTmz_30.255_648.62854",2,"0; NoLinearRangeFound"
38278,"29.752_662.6443","Cer[NS] d43:2_RTmz_29.752_662.6443",2,"0; NoLinearRangeFound"
38279,"30.129_662.64433","Cer[NS] d43:2_RTmz_30.129_662.64433",2,"0; LowPeakQualityScore, NoLinearRangeFound"
38280,"30.369_662.64427","Cer[NS] d43:2_RTmz_30.369_662.64427",2,"1"
38281,"30.727_676.65974","Cer[NS] d44:2_RTmz_30.727_676.65974",2,"1"
38282,"27.16_646.61277","Cer[NS] d42:3_RTmz_27.16_646.61277",2,"1"
38283,"18.69_698.55583","CerP d18:1_22:2_RTmz_18.69_698.55583",2,"1"
38284,"33.267_890.78063","d5TG 16:0_17:0_19:0_RTmz_33.267_890.78063",2,"1"
38285,"33.688_887.78797","d5TG 53:6_RTmz_33.688_887.78797",2,"0; LowPeakQualityScore"
38286,"34.693_929.83617","d5TG 56:6_RTmz_34.693_929.83617",2,"0; LowPeakQualityScore"
38287,"24.333_558.50903","DG 14:0_16:0_RTmz_24.333_558.50903",2,"1"
38288,"26.492_586.54065","DG 16:0_16:0_RTmz_26.492_586.54065",2,"1"
38289,"28.73_614.57167","DG 16:0_18:0_RTmz_28.73_614.57167",2,"1"
38290,"30.573_642.60279","DG 36:0_RTmz_30.573_642.60279",2,"1"
38291,"32.265_698.60788","DG 40:0_RTmz_32.265_698.60788",2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38292,"32.394_698.60806","DG 40:0_RTmz_32.394_698.60806",2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38293,"24.538_584.52462","DG 32:1_RTmz_24.538_584.52462",2,"1"
38294,"25.497_584.50321","DG 32:1_RTmz_25.497_584.50321",2,"1"
38295,"25.575_598.54032","DG 33:1_RTmz_25.575_598.54032",2,"1"
38296,"27.77_626.5714","DG 35:1_RTmz_27.77_626.5714",2,"1"
38297,"28.9_640.5871","DG 18:1_18:0_RTmz_28.9_640.5871",2,"1"
38298,"29.124_668.61846","DG 18:1_20:0_RTmz_29.124_668.61846",2,"0; HighRTModelError, LowPeakQualityScore"
38299,"30.642_668.61829","DG 18:1_20:0_RTmz_30.642_668.61829",2,"1"
38300,"31.477_696.64956","DG 18:1_22:0_RTmz_31.477_696.64956",2,"0; LowPeakQualityScore"
38301,"23.015_582.50947","DG 14:0_18:2_RTmz_23.015_582.50947",2,"1"
38302,"24.73_610.53984","DG 16:1_18:1_RTmz_24.73_610.53984",2,"1"
38303,"25.03_610.53967","DG 16:0_18:2_RTmz_25.03_610.53967",2,"1"
38304,"25.485_610.53909","DG 34:2_RTmz_25.485_610.53909",2,"0; NoLinearRangeFound"
38305,"25.758_624.55564","DG 35:2_RTmz_25.758_624.55564",2,"1"
38306,"26.096_624.55552","DG 35:2_RTmz_26.096_624.55552",2,"1"
38307,"26.836_638.57099","DG 18:1_18:1_RTmz_26.836_638.57099",2,"1"
38308,"27.186_638.57135","DG 36:2_RTmz_27.186_638.57135",2,"0; NA"
38309,"21.305_580.3612","DG 14:1_18:2_RTmz_21.305_580.3612",2,"0; HighRsd, LowPeakQualityScore"
38310,"23.205_608.52461","DG 16:1_18:2_RTmz_23.205_608.52461",2,"1"
38311,"23.491_608.39391","DG 34:3_RTmz_23.491_608.39391",2,"0; LowPeakQualityScore, NoLinearRangeFound"
38312,"23.662_608.52463","DG 34:3_RTmz_23.662_608.52463",2,"1"
38313,"23.938_608.52425","DG 16:0_18:3_RTmz_23.938_608.52425",2,"0; LowPeakQualityScore, NoLinearRangeFound"
38314,"24.186_622.54016","DG 17:1_18:2_RTmz_24.186_622.54016",2,"1"
38315,"25.216_636.55527","DG 18:2_18:1_RTmz_25.216_636.55527",2,"1"
38316,"25.57_636.55584","DG 36:3_RTmz_25.57_636.55584",2,"0; NA"
38317,"27.192_664.58704","DG 38:3_RTmz_27.192_664.58704",2,"1"
38318,"23.679_634.53983","DG 36:4_RTmz_23.679_634.53983",2,"1"
38319,"24.728_634.53988","DG 36:4_RTmz_24.728_634.53988",2,"1"
38320,"25.542_662.5711","DG 38:4_RTmz_25.542_662.5711",2,"1"
38321,"25.806_662.57132","DG 38:4_RTmz_25.806_662.57132",2,"1"
38322,"26.874_662.57123","DG 18:0_20:4_RTmz_26.874_662.57123",2,"1"
38323,"22.631_632.52468","DG 18:3_18:2_RTmz_22.631_632.52468",2,"1"
38324,"24.228_660.55562","DG 18:2_20:3_RTmz_24.228_660.55562",2,"1"
38325,"24.904_660.55548","DG 38:5_RTmz_24.904_660.55548",2,"1"
38326,"26.47_688.58732","DG 18:1_22:4_RTmz_26.47_688.58732",2,"1"
38327,"23.377_658.53978","DG 38:6_RTmz_23.377_658.53978",2,"1"
38328,"23.618_658.54059","DG 38:6_RTmz_23.618_658.54059",2,"1"
38329,"24.233_658.54004","DG 16:0_22:6_RTmz_24.233_658.54004",2,"1"
38330,"25.043_686.57097","DG 40:6_RTmz_25.043_686.57097",2,"1"
38331,"27.159_714.60263","DG 20:0_22:6_RTmz_27.159_714.60263",2,"1"
38332,"22.131_656.52437","DG 38:7_RTmz_22.131_656.52437",2,"1"
38333,"23.823_684.20207","DG 18:2_22:5_RTmz_23.823_684.20207",2,"1"
38334,"24.413_684.55606","DG 18:1_22:6_RTmz_24.413_684.55606",2,"1"
38335,"29.326_712.60799","DG 20:1_22:6_RTmz_29.326_712.60799",2,"0; LowPeakQualityScore, NoLinearRangeFound"
38336,"22.904_682.54063","DG 40:8_RTmz_22.904_682.54063",2,"1"
38337,"17.756_1125.68791","GM3-NANA d18:1_14:0_RTmz_17.756_1125.68791",2,"1"
38338,"18.762_1153.719","GM3-NANA d18:1_16:0_RTmz_18.762_1153.719",2,"1"
38339,"20.077_1181.75053","GM3-NANA d18:1_18:0_RTmz_20.077_1181.75053",2,"1"
38340,"20.292_1181.75064","GM3-NANA d18:1_18:0_RTmz_20.292_1181.75064",2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38341,"21.736_1209.78177","GM3-NANA d38:1_RTmz_21.736_1209.78177",2,"1"
38342,"21.986_1209.78166","GM3-NANA d38:1_RTmz_21.986_1209.78166",2,"0; HighRsd, LowPeakQualityScore"
38343,"23.628_1237.81418","GM3-NANA d18:1_22:0_RTmz_23.628_1237.81418",2,"1"
38344,"23.889_1237.81393","GM3-NANA d18:1_22:0_RTmz_23.889_1237.81393",2,"0; HighRsd, NoLinearRangeFound"
38345,"24.707_1251.82972","GM3-NANA d18:1_23:0_RTmz_24.707_1251.82972",2,"1"
38346,"25.568_1265.84476","GM3-NANA d18:1_24:0_RTmz_25.568_1265.84476",2,"1"
38347,"25.824_1265.8457","GM3-NANA d18:1_24:0_RTmz_25.824_1265.8457",2,"0; HighRsd"
38348,"17.889_1151.7032","GM3-NANA d18:2_16:0_RTmz_17.889_1151.7032",2,"1"
38349,"18.984_1179.73512","GM3-NANA d18:2_18:0_RTmz_18.984_1179.73512",2,"1"
38350,"22.127_1235.79842","GM3-NANA d18:2_22:0_RTmz_22.127_1235.79842",2,"1"
38351,"23.611_1263.82985","GM3-NANA d18:1_24:1_RTmz_23.611_1263.82985",2,"1"
38352,"23.865_1263.82965","GM3-NANA d18:1_24:1_RTmz_23.865_1263.82965",2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38353,"24.052_1263.82986","GM3-NANA d18:2_24:0_RTmz_24.052_1263.82986",2,"1"
38354,"18.488_1169.71385","GM3-NGNA d18:1_16:0_RTmz_18.488_1169.71385",2,"1"
38355,"23.123_1279.82499","GM3-NGNA d18:1_24:1_RTmz_23.123_1279.82499",2,"1"
38356,"27.352_810.68125","HexCer[NS] d42:2_RTmz_27.352_810.68125",2,"1"
38357,"27.369_810.6001","HexCer[NS] d42:2_RTmz_27.369_810.6001",2,"0; HighRsd"
38358,"27.514_810.6003","HexCer[NS] d42:2_RTmz_27.514_810.6003",2,"0; LowPeakQualityScore"
38359,"12.516_412.28448","LysoPC 10:0_RTmz_12.516_412.28448",2,"0; HighRTModelError"
38360,"12.686_412.30558","LysoPC 10:0_RTmz_12.686_412.30558",2,"1"
38361,"13.008_412.26912","LysoPC 10:0_RTmz_13.008_412.26912",2,"0; HighRTModelError, LowPeakQualityScore, NoLinearRangeFound"
38362,"13.356_440.21171","LysoPC 12:0_RTmz_13.356_440.21171",2,"0; HighRTModelError, LowPeakQualityScore, NoLinearRangeFound"
38363,"13.499_440.27685","LysoPC 12:0_RTmz_13.499_440.27685",2,"0; HighRsd, HighRTModelError, LowPeakQualityScore"
38364,"13.662_440.27681","LysoPC 12:0_RTmz_13.662_440.27681",2,"1"
38365,"11.994_454.29241","Unknown_RTmz_11.994_454.29241",2,"1"
38366,"14.235_468.38909","LysoPC 14:0_RTmz_14.235_468.38909",2,"0; HighRTModelError, NoLinearRangeFound"
38367,"14.24_468.19902","LysoPC 14:0_RTmz_14.24_468.19902",2,"0; HighRTModelError, NoLinearRangeFound"
38368,"14.251_468.30816","LysoPC 14:0_RTmz_14.251_468.30816",2,"0; HighRTModelError"
38369,"14.426_468.30846","LysoPC 14:0_RTmz_14.426_468.30846",2,"1"
38370,"14.639_482.32371","LysoPC 15:0_RTmz_14.639_482.32371",2,"1"
38371,"14.809_482.32403","LysoPC 15:0_RTmz_14.809_482.32403",2,"1"
38372,"15.021_496.3393","LysoPC 16:0_RTmz_15.021_496.3393",2,"1"
38373,"15.199_496.33947","LysoPC 16:0_RTmz_15.199_496.33947",2,"1"
38374,"15.459_510.35485","LysoPC 17:0_RTmz_15.459_510.35485",2,"1"
38375,"16.397_510.3912","LysoPC 17:0_RTmz_16.397_510.3912",2,"1"
38376,"15.798_524.37019","LysoPC 18:0_RTmz_15.798_524.37019",2,"0; HighRTModelError"
38377,"15.988_524.3707","LysoPC 18:0_RTmz_15.988_524.3707",2,"1"
38378,"16.218_538.38608","LysoPC 19:0_RTmz_16.218_538.38608",2,"1"
38379,"16.824_552.40175","LysoPC 20:0_RTmz_16.824_552.40175",2,"1"
38380,"17.838_580.4203","LysoPC 22:0_RTmz_17.838_580.4203",2,"1"
38381,"18.837_608.46453","LysoPC 24:0_RTmz_18.837_608.46453",2,"1"
38382,"13.673_466.31589","LysoPC 14:1_RTmz_13.673_466.31589",2,"0; HighRTModelError"
38383,"13.887_466.2924","LysoPC 14:1_RTmz_13.887_466.2924",2,"1"
38384,"14.468_480.30871","LysoPC 15:1_RTmz_14.468_480.30871",2,"0; HighRTModelError, LowPeakQualityScore"
38385,"14.441_494.32432","LysoPC 16:1_RTmz_14.441_494.32432",2,"0; HighRTModelError"
38386,"14.597_494.32337","LysoPC 16:1_RTmz_14.597_494.32337",2,"1"
38387,"15.261_508.33924","LysoPC 17:1_RTmz_15.261_508.33924",2,"1"
38388,"14.955_522.25622","Unknown_RTmz_14.955_522.25622",2,"1"
38389,"15.34_522.35495","LysoPC 18:1_RTmz_15.34_522.35495",2,"1"
38390,"16.064_550.38612","LysoPC 20:1_RTmz_16.064_550.38612",2,"1"
38391,"16.858_578.41732","LysoPC 22:1_RTmz_16.858_578.41732",2,"1"
38392,"14.428_506.26452","LysoPC 17:2_RTmz_14.428_506.26452",2,"1"
38393,"14.688_520.33923","LysoPC 18:2_RTmz_14.688_520.33923",2,"0; HighRTModelError"
38394,"14.843_520.33942","LysoPC 18:2_RTmz_14.843_520.33942",2,"1"
38395,"15.527_548.37045","LysoPC 20:2_RTmz_15.527_548.37045",2,"1"
38396,"13.123_518.32375","LysoPC 18:3_RTmz_13.123_518.32375",2,"1"
38397,"14.276_518.32367","LysoPC 18:3_RTmz_14.276_518.32367",2,"0; HighRTModelError"
38398,"14.423_518.32426","LysoPC 18:3_RTmz_14.423_518.32426",2,"1"
38399,"15.101_546.35457","LysoPC 20:3_RTmz_15.101_546.35457",2,"1"
38400,"14.088_516.30813","LysoPC 18:4_RTmz_14.088_516.30813",2,"1"
38401,"14.8_544.33923","LysoPC 20:4_RTmz_14.8_544.33923",2,"1"
38402,"15.342_544.33718","LysoPC 20:4_RTmz_15.342_544.33718",2,"1"
38403,"15.378_572.37039","LysoPC 22:4_RTmz_15.378_572.37039",2,"1"
38404,"14.265_542.32365","LysoPC 20:5_RTmz_14.265_542.32365",2,"0; HighRTModelError"
38405,"14.396_542.32421","LysoPC 20:5_RTmz_14.396_542.32421",2,"1"
38406,"14.952_570.35479","LysoPC 22:5_RTmz_14.952_570.35479",2,"1"
38407,"15.528_570.35231","LysoPC 22:5_RTmz_15.528_570.35231",2,"0; HighRTModelError"
38408,"14.741_568.33882","LysoPC 22:6_RTmz_14.741_568.33882",2,"1"
38409,"15.328_454.29273","LysoPE 16:0_RTmz_15.328_454.29273",2,"1"
38410,"15.574_468.33149","LysoPE 17:0_RTmz_15.574_468.33149",2,"1"
38411,"15.947_482.32385","LysoPE 18:0_RTmz_15.947_482.32385",2,"1"
38412,"14.706_452.27683","LysoPE 16:1_RTmz_14.706_452.27683",2,"1"
38413,"15.464_480.30793","LysoPE 18:1_RTmz_15.464_480.30793",2,"1"
38414,"15.528_480.34424","LysoPE 18:1_RTmz_15.528_480.34424",2,"1"
38415,"16.034_508.33973","LysoPE 20:1_RTmz_16.034_508.33973",2,"0; NoLinearRangeFound"
38416,"14.962_478.29223","LysoPE 18:2_RTmz_14.962_478.29223",2,"0; NA"
38417,"15.021_478.32896","LysoPE 18:2_RTmz_15.021_478.32896",2,"1"
38418,"15.031_478.32346","LysoPE 18:2_RTmz_15.031_478.32346",2,"0; LowPeakQualityScore"
38419,"15.123_478.29243","LysoPE 18:2_RTmz_15.123_478.29243",2,"0; LowPeakQualityScore, NoLinearRangeFound"
38420,"15.197_478.32368","LysoPE 18:2_RTmz_15.197_478.32368",2,"0; NA"
38421,"15.199_478.32911","LysoPE 18:2_RTmz_15.199_478.32911",2,"0; NA"
38422,"14.544_476.27716","LysoPE 18:3_RTmz_14.544_476.27716",2,"1"
38423,"14.598_476.31287","LysoPE 18:3_RTmz_14.598_476.31287",2,"0; LowPeakQualityScore"
38424,"15.294_504.30813","LysoPE 20:3_RTmz_15.294_504.30813",2,"0; LowPeakQualityScore, NoLinearRangeFound"
38425,"15.332_504.34417","LysoPE 20:3_RTmz_15.332_504.34417",2,"1"
38426,"15.338_504.3381","LysoPE 20:3_RTmz_15.338_504.3381",2,"0; LowPeakQualityScore"
38427,"14.704_502.33704","LysoPE 20:4_RTmz_14.704_502.33704",2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38428,"14.743_502.37328","LysoPE 20:4_RTmz_14.743_502.37328",2,"0; NoLinearRangeFound"
38429,"14.839_502.32316","LysoPE 20:4_RTmz_14.839_502.32316",2,"0; LowPeakQualityScore"
38430,"14.84_502.3291","LysoPE 20:4_RTmz_14.84_502.3291",2,"0; NA"
38431,"14.921_502.29219","LysoPE 20:4_RTmz_14.921_502.29219",2,"1"
38432,"15.481_530.32358","LysoPE 22:4_RTmz_15.481_530.32358",2,"1"
38433,"14.119_500.32136","LysoPE 20:5_RTmz_14.119_500.32136",2,"0; HighRsd, NoLinearRangeFound"
38434,"14.335_500.37135","LysoPE 20:5_RTmz_14.335_500.37135",2,"0; NoLinearRangeFound"
38435,"14.508_500.27747","LysoPE 20:5_RTmz_14.508_500.27747",2,"1"
38436,"15.07_528.30801","LysoPE 22:5_RTmz_15.07_528.30801",2,"0; NA"
38437,"15.101_528.34381","LysoPE 22:5_RTmz_15.101_528.34381",2,"0; LowPeakQualityScore"
38438,"15.27_528.30798","LysoPE 22:5_RTmz_15.27_528.30798",2,"1"
38439,"14.803_526.32881","LysoPE 22:6_RTmz_14.803_526.32881",2,"1"
38440,"14.839_526.29278","LysoPE 22:6_RTmz_14.839_526.29278",2,"0; NA"
38441,"14.86_526.2929","LysoPE 22:6_RTmz_14.86_526.2929",2,"0; NA"
38442,"15.086_526.29004","LysoPE 22:6_RTmz_15.086_526.29004",2,"1"
38443,"13.163_437.21421","Unknown_RTmz_13.163_437.21421",2,"1"
38444,"13.349_451.26674","Unknown_RTmz_13.349_451.26674",2,"1"
38445,"13.652_463.23228","Unknown_RTmz_13.652_463.23228",2,"1"
38446,"22.002_666.43382","PA 32:0_RTmz_22.002_666.43382",2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38447,"16.002_670.40562","PA 33:5_RTmz_16.002_670.40562",2,"0; NoLinearRangeFound"
38448,"13.763_566.38106","PC 20:0_RTmz_13.763_566.38106",2,"1"
38449,"15.37_594.35252","PC 22:0_RTmz_15.37_594.35252",2,"0; HighRTModelError"
38450,"19.569_594.48518","Unknown_RTmz_19.569_594.48518",2,"1"
38451,"16.919_622.44361","PC 24:0_RTmz_16.919_622.44361",2,"0; HighRsd, HighRTModelError, LowPeakQualityScore, NoLinearRangeFound"
