biomolecule_id,UniqueID,standardized_name,RT,mz,Adduct,LipidCategory,LipidClass,MainClass,SubClass,NumFattyAcylCarbons,NumFattyAcylUnsaturations,AverageUnsaturations,UnsaturationLevel,omics_id,keep
38181,13.415_370.29495,AC 14:1_RTmz_13.415_370.29495,13.415,370.29495,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,14,1,1,Low,2,1
38182,13.621_370.29491,AC 14:1_RTmz_13.621_370.29491,13.621,370.29491,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,14,1,1,Low,2,0; NA
38183,14.035_398.32607,AC 16:1_RTmz_14.035_398.32607,14.035,398.32607,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,16,1,1,Low,2,1
38184,14.405_412.0972,AC 17:1_RTmz_14.405_412.0972,14.405,412.0972,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,17,1,1,Low,2,0; NoLinearRangeFound
38185,14.547_426.26167,AC 18:1_RTmz_14.547_426.26167,14.547,426.26167,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,18,1,1,Low,2,0; LowPeakQualityScore
38186,14.692_426.35747,AC 18:1_RTmz_14.692_426.35747,14.692,426.35747,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,18,1,1,Low,2,1
38187,12.921_410.32621,AC 17:2_RTmz_12.921_410.32621,12.921,410.32621,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,17,2,2,Medium,2,0; NoLinearRangeFound
38188,13.912_410.32649,AC 17:2_RTmz_13.912_410.32649,13.912,410.32649,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,17,2,2,Medium,2,1
38189,14.237_424.34181,AC 18:2_RTmz_14.237_424.34181,14.237,424.34181,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,18,2,2,Medium,2,1
38190,14.259_424.36294,AC 18:2_RTmz_14.259_424.36294,14.259,424.36294,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,18,2,2,Medium,2,0; NoLinearRangeFound
38191,14.539_424.34217,AC 18:2_RTmz_14.539_424.34217,14.539,424.34217,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,18,2,2,Medium,2,0; LowPeakQualityScore
38192,13.852_422.32615,AC 18:3_RTmz_13.852_422.32615,13.852,422.32615,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,18,3,3,High,2,0; NA
38193,14.091_422.32608,AC 18:3_RTmz_14.091_422.32608,14.091,422.32608,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,18,3,3,High,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38194,14.423_450.29789,AC 20:3_RTmz_14.423_450.29789,14.423,450.29789,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,20,3,3,High,2,"0; LowPeakQualityScore, NoLinearRangeFound"
38195,14.503_450.35794,AC 20:3_RTmz_14.503_450.35794,14.503,450.35794,[M+H]+,Fatty Acyls,AC,Fatty esters,Acyl Carnitines,20,3,3,High,2,1
38196,35.868_810.79025,Alkanyl-TG O-16:0_16:0_16:0_RTmz_35.868_810.79025,35.868,810.79025,[M+NH4]+,Glycerolipids,Alkanyl-TG,Triradylglycerols,Triacylglycerols,48,0,0,Very Low,2,0; LowPeakQualityScore
38197,36.646_838.82153,Alkanyl-TG O-18:0_16:0_16:0_RTmz_36.646_838.82153,36.646,838.82153,[M+NH4]+,Glycerolipids,Alkanyl-TG,Triradylglycerols,Triacylglycerols,50,0,0,Very Low,2,0; LowPeakQualityScore
38198,35.766_836.61657,Alkanyl-TG O-50:1_RTmz_35.766_836.61657,35.766,836.61657,[M+NH4]+,Glycerolipids,Alkanyl-TG,Triradylglycerols,Triacylglycerols,50,1,0.3333333333333333,Very Low,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38199,35.824_836.80573,Alkanyl-TG O-50:1_RTmz_35.824_836.80573,35.824,836.80573,[M+NH4]+,Glycerolipids,Alkanyl-TG,Triradylglycerols,Triacylglycerols,50,1,0.3333333333333333,Very Low,2,1
38200,36.596_864.8373,Alkanyl-TG O-52:1_RTmz_36.596_864.8373,36.596,864.8373,[M+NH4]+,Glycerolipids,Alkanyl-TG,Triradylglycerols,Triacylglycerols,52,1,0.3333333333333333,Very Low,2,1
38201,37.278_892.86868,Alkanyl-TG O-54:1_RTmz_37.278_892.86868,37.278,892.86868,[M+NH4]+,Glycerolipids,Alkanyl-TG,Triradylglycerols,Triacylglycerols,54,1,0.3333333333333333,Very Low,2,1
38202,35.098_834.79025,Alkanyl-TG O-50:2_RTmz_35.098_834.79025,35.098,834.79025,[M+NH4]+,Glycerolipids,Alkanyl-TG,Triradylglycerols,Triacylglycerols,50,2,0.6666666666666666,Low,2,"0; LowPeakQualityScore, NoLinearRangeFound"
38203,35.771_862.82138,Alkenyl-TG P-52:1_RTmz_35.771_862.82138,35.771,862.82138,[M+NH4]+,Glycerolipids,Alkenyl-TG,Triradylglycerols,Triacylglycerols,52,1,0.3333333333333333,Very Low,2,0; NA
38204,36.542_890.85305,Alkenyl-TG P-54:1_RTmz_36.542_890.85305,36.542,890.85305,[M+NH4]+,Glycerolipids,Alkenyl-TG,Triradylglycerols,Triacylglycerols,54,1,0.3333333333333333,Very Low,2,"0; LowPeakQualityScore, NoLinearRangeFound"
38205,35.066_860.80565,Alkenyl-TG P-52:2_RTmz_35.066_860.80565,35.066,860.80565,[M+NH4]+,Glycerolipids,Alkenyl-TG,Triradylglycerols,Triacylglycerols,52,2,0.6666666666666666,Low,2,0; NA
38206,35.857_860.77091,Alkenyl-TG P-52:2_RTmz_35.857_860.77091,35.857,860.77091,[M+NH4]+,Glycerolipids,Alkenyl-TG,Triradylglycerols,Triacylglycerols,52,2,0.6666666666666666,Low,2,"0; HighRsd, LowPeakQualityScore"
38207,33.305_586.5559,CE 12:0_RTmz_33.305_586.5559,33.305,586.5559,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,12,0,0,Very Low,2,1
38208,34.26_614.58666,CE 14:0_RTmz_34.26_614.58666,34.26,614.58666,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,14,0,0,Very Low,2,1
38209,34.561_628.60262,CE 15:0_RTmz_34.561_628.60262,34.561,628.60262,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,15,0,0,Very Low,2,0; NoLinearRangeFound
38210,34.767_628.60264,CE 15:0_RTmz_34.767_628.60264,34.767,628.60264,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,15,0,0,Very Low,2,1
38211,35.035_642.6177,CE 16:0_RTmz_35.035_642.6177,35.035,642.6177,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,16,0,0,Very Low,2,0; NoLinearRangeFound
38212,35.276_642.61815,CE 16:0_RTmz_35.276_642.61815,35.276,642.61815,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,16,0,0,Very Low,2,1
38213,35.539_656.63347,CE 17:0_RTmz_35.539_656.63347,35.539,656.63347,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,17,0,0,Very Low,2,0; NA
38214,35.74_656.63358,CE 17:0_RTmz_35.74_656.63358,35.74,656.63358,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,17,0,0,Very Low,2,1
38215,35.668_670.64907,CE 18:0_RTmz_35.668_670.64907,35.668,670.64907,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,18,0,0,Very Low,2,0; LowPeakQualityScore
38216,35.868_670.64883,CE 18:0_RTmz_35.868_670.64883,35.868,670.64883,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,18,0,0,Very Low,2,0; LowPeakQualityScore
38217,36.204_670.64916,CE 18:0_RTmz_36.204_670.64916,36.204,670.64916,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,18,0,0,Very Low,2,1
38218,36.166_698.60775,CE 20:0_RTmz_36.166_698.60775,36.166,698.60775,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,20,0,0,Very Low,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38219,36.451_698.60793,CE 20:0_RTmz_36.451_698.60793,36.451,698.60793,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,20,0,0,Very Low,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38220,36.753_698.60833,CE 20:0_RTmz_36.753_698.60833,36.753,698.60833,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,20,0,0,Very Low,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38221,36.928_698.60814,CE 20:0_RTmz_36.928_698.60814,36.928,698.60814,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,20,0,0,Very Low,2,"0; HighRsd, LowPeakQualityScore"
38222,37.067_698.68078,CE 20:0_RTmz_37.067_698.68078,37.067,698.68078,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,20,0,0,Very Low,2,1
38223,33.328_612.57129,CE 14:1_RTmz_33.328_612.57129,33.328,612.57129,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,14,1,1,Low,2,1
38224,34.249_640.60208,CE 16:1_RTmz_34.249_640.60208,34.249,640.60208,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,16,1,1,Low,2,1
38225,34.743_654.61835,CE 17:1_RTmz_34.743_654.61835,34.743,654.61835,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,17,1,1,Low,2,1
38226,34.824_654.33211,CE 17:1_RTmz_34.824_654.33211,34.824,654.33211,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,17,1,1,Low,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38227,34.813_668.63388,CE 18:1_RTmz_34.813_668.63388,34.813,668.63388,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,18,1,1,Low,2,1
38228,35.217_668.63367,CE 18:1_RTmz_35.217_668.63367,35.217,668.63367,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,18,1,1,Low,2,1
38229,35.822_696.66468,CE 20:1_RTmz_35.822_696.66468,35.822,696.66468,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,20,1,1,Low,2,1
38230,36.107_696.66488,CE 20:1_RTmz_36.107_696.66488,36.107,696.66488,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,20,1,1,Low,2,1
38231,33.922_652.60271,CE 17:2_RTmz_33.922_652.60271,33.922,652.60271,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,17,2,2,Medium,2,1
38232,34.385_666.61768,CE 18:2_RTmz_34.385_666.61768,34.385,666.61768,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,18,2,2,Medium,2,1
38233,34.671_666.61852,CE 18:2_RTmz_34.671_666.61852,34.671,666.61852,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,18,2,2,Medium,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38234,34.897_666.61779,CE 18:2_RTmz_34.897_666.61779,34.897,666.61779,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,18,2,2,Medium,2,0; NA
38235,34.965_694.64865,CE 20:2_RTmz_34.965_694.64865,34.965,694.64865,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,20,2,2,Medium,2,1
38236,35.285_694.64937,CE 20:2_RTmz_35.285_694.64937,35.285,694.64937,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,20,2,2,Medium,2,"0; LowPeakQualityScore, NoLinearRangeFound"
38237,33.708_664.60163,CE 18:3_RTmz_33.708_664.60163,33.708,664.60163,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,18,3,3,High,2,1
38238,34.254_692.63354,CE 20:3_RTmz_34.254_692.63354,34.254,692.63354,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,20,3,3,High,2,0; HighRTModelError
38239,34.527_692.63282,CE 20:3_RTmz_34.527_692.63282,34.527,692.63282,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,20,3,3,High,2,1
38240,33.055_662.58638,CE 18:4_RTmz_33.055_662.58638,33.055,662.58638,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,18,4,4,Very High,2,1
38241,33.997_690.61811,CE 20:4_RTmz_33.997_690.61811,33.997,690.61811,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,20,4,4,Very High,2,1
38242,34.596_718.64962,CE 22:4_RTmz_34.596_718.64962,34.596,718.64962,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,22,4,4,Very High,2,0; HighRTModelError
38243,35.399_746.59279,CE 24:4_RTmz_35.399_746.59279,35.399,746.59279,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,24,4,4,Very High,2,1
38244,33.328_688.60229,CE 20:5_RTmz_33.328_688.60229,33.328,688.60229,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,20,5,5,Very High,2,1
38245,34.301_716.63372,CE 22:5_RTmz_34.301_716.63372,34.301,716.63372,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,22,5,5,Very High,2,1
38246,33.639_714.617,CE 22:6_RTmz_33.639_714.617,33.639,714.617,[M+NH4]+,Sterol Lipids,CE,Sterols,Steryl esters,22,6,6,Very High,2,1
38247,26.632_578.58714,Cer[NS] d38:0_RTmz_26.632_578.58714,26.632,578.58714,[M+H-H2O]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,38,0,0,Very Low,2,1
38248,28.863_606.61802,Cer[NS] d40:0_RTmz_28.863_606.61802,28.863,606.61802,[M+H-H2O]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,40,0,0,Very Low,2,1
38249,29.951_620.63367,Cer[NS] d41:0_RTmz_29.951_620.63367,29.951,620.63367,[M+H-H2O]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,41,0,0,Very Low,2,1
38250,30.49_634.64933,Cer[NS] d42:0_RTmz_30.49_634.64933,30.49,634.64933,[M+H-H2O]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,42,0,0,Very Low,2,0; HighRTModelError
38251,30.616_634.64922,Cer[NS] d42:0_RTmz_30.616_634.64922,30.616,634.64922,[M+H-H2O]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,42,0,0,Very Low,2,1
38252,25.91_562.55518,Cer[NS] d37:1_RTmz_25.91_562.55518,25.91,562.55518,[M+H-H2O]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,37,1,0.5,Very Low,2,1
38253,27.013_594.5815,Cer[NS] d38:1_RTmz_27.013_594.5815,27.013,594.5815,[M+H]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,38,1,0.5,Very Low,2,1
38254,27.335_594.3765,Cer[NS] d38:1_RTmz_27.335_594.3765,27.335,594.3765,[M+H]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,38,1,0.5,Very Low,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38255,28.114_608.59719,Cer[NS] d39:1_RTmz_28.114_608.59719,28.114,608.59719,[M+H]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,39,1,0.5,Very Low,2,1
38256,27.142_604.60215,Unknown_RTmz_27.142_604.60215,27.142,604.60215,[M+H-H2O]+,NA,NA,NA,NA,NA,NA,NA,Unknown,2,0; Notfound_in_50pecent_samples
38257,28.821_622.40778,Cer[NS] d40:1_RTmz_28.821_622.40778,28.821,622.40778,[M+H]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,40,1,0.5,Very Low,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38258,29.085_622.40832,Cer[NS] d40:1_RTmz_29.085_622.40832,29.085,622.40832,[M+H]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,40,1,0.5,Very Low,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38259,29.256_622.61284,Cer[NS] d40:1_RTmz_29.256_622.61284,29.256,622.61284,[M+H]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,40,1,0.5,Very Low,2,1
38260,29.885_618.61793,Cer[NS] d41:1_RTmz_29.885_618.61793,29.885,618.61793,[M+H-H2O]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,41,1,0.5,Very Low,2,0; NoLinearRangeFound
38261,30.233_618.61775,Cer[NS] d41:1_RTmz_30.233_618.61775,30.233,618.61775,[M+H-H2O]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,41,1,0.5,Very Low,2,1
38262,28.772_632.63357,Unknown_RTmz_28.772_632.63357,28.772,632.63357,[M+H-H2O]+,NA,NA,NA,NA,NA,NA,NA,Unknown,2,1
38263,30.196_650.64412,Cer[NS] d42:1_RTmz_30.196_650.64412,30.196,650.64412,[M+H]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,42,1,0.5,Very Low,2,"0; LowPeakQualityScore, NoLinearRangeFound"
38264,30.595_650.64423,Cer[NS] d42:1_RTmz_30.595_650.64423,30.595,650.64423,[M+H]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,42,1,0.5,Very Low,2,0; NA
38265,30.79_650.64396,Cer[NS] d42:1_RTmz_30.79_650.64396,30.79,650.64396,[M+H]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,42,1,0.5,Very Low,2,1
38266,30.982_632.63386,Cer[NS] d42:1_RTmz_30.982_632.63386,30.982,632.63386,[M+H-H2O]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,42,1,0.5,Very Low,2,"0; HighRsd, LowPeakQualityScore"
38267,31.031_664.65985,Cer[NS] d43:1_RTmz_31.031_664.65985,31.031,664.65985,[M+H]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,43,1,0.5,Very Low,2,0; NA
38268,31.216_664.65988,Cer[NS] d43:1_RTmz_31.216_664.65988,31.216,664.65988,[M+H]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,43,1,0.5,Very Low,2,1
38269,31.432_678.67546,Cer[NS] d44:1_RTmz_31.432_678.67546,31.432,678.67546,[M+H]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,44,1,0.5,Very Low,2,"0; HighRsd, LowPeakQualityScore"
38270,31.607_678.67538,Cer[NS] d44:1_RTmz_31.607_678.67538,31.607,678.67538,[M+H]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,44,1,0.5,Very Low,2,1
38271,26.909_620.597,Cer[NS] d40:2_RTmz_26.909_620.597,26.909,620.597,[M+H]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,40,2,1,Low,2,0; NoLinearRangeFound
38272,27.257_620.59716,Cer[NS] d40:2_RTmz_27.257_620.59716,27.257,620.59716,[M+H]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,40,2,1,Low,2,1
38273,28.003_616.60212,Cer[NS] d41:2_RTmz_28.003_616.60212,28.003,616.60212,[M+H-H2O]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,41,2,1,Low,2,0; NoLinearRangeFound
38274,28.367_616.60223,Cer[NS] d41:2_RTmz_28.367_616.60223,28.367,616.60223,[M+H-H2O]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,41,2,1,Low,2,1
38275,29.132_648.62857,Cer[NS] d42:2_RTmz_29.132_648.62857,29.132,648.62857,[M+H]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,42,2,1,Low,2,0; NA
38276,29.487_648.62869,Cer[NS] d42:2_RTmz_29.487_648.62869,29.487,648.62869,[M+H]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,42,2,1,Low,2,1
38277,30.255_648.62854,Cer[NS] d42:2_RTmz_30.255_648.62854,30.255,648.62854,[M+H]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,42,2,1,Low,2,0; NoLinearRangeFound
38278,29.752_662.6443,Cer[NS] d43:2_RTmz_29.752_662.6443,29.752,662.6443,[M+H]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,43,2,1,Low,2,0; NoLinearRangeFound
38279,30.129_662.64433,Cer[NS] d43:2_RTmz_30.129_662.64433,30.129,662.64433,[M+H]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,43,2,1,Low,2,"0; LowPeakQualityScore, NoLinearRangeFound"
38280,30.369_662.64427,Cer[NS] d43:2_RTmz_30.369_662.64427,30.369,662.64427,[M+H]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,43,2,1,Low,2,1
38281,30.727_676.65974,Cer[NS] d44:2_RTmz_30.727_676.65974,30.727,676.65974,[M+H]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,44,2,1,Low,2,1
38282,27.16_646.61277,Cer[NS] d42:3_RTmz_27.16_646.61277,27.16,646.61277,[M+H]+,Sphingolipids,Cer[NS],Ceramides,N-acylsphingosines,42,3,1.5,Medium,2,1
38283,18.69_698.55583,CerP d18:1_22:2_RTmz_18.69_698.55583,18.69,698.55583,[M+H]+,Sphingolipids,CerP,Ceramides,Ceramide 1-phosphates,40,3,3,High,2,1
38284,33.267_890.78063,d5TG 16:0_17:0_19:0_RTmz_33.267_890.78063,33.267,890.78063,[M+Na]+,NA,d5TG,NA,NA,52,0,NA,Unknown,2,1
38285,33.688_887.78797,d5TG 53:6_RTmz_33.688_887.78797,33.688,887.78797,[M+NH4]+,NA,d5TG,NA,NA,53,6,NA,Unknown,2,0; LowPeakQualityScore
38286,34.693_929.83617,d5TG 56:6_RTmz_34.693_929.83617,34.693,929.83617,[M+NH4]+,NA,d5TG,NA,NA,56,6,NA,Unknown,2,0; LowPeakQualityScore
38287,24.333_558.50903,DG 14:0_16:0_RTmz_24.333_558.50903,24.333,558.50903,[M+NH4]+,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,30,0,0,Very Low,2,1
38288,26.492_586.54065,DG 16:0_16:0_RTmz_26.492_586.54065,26.492,586.54065,[M+NH4]+,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,32,0,0,Very Low,2,1
38289,28.73_614.57167,DG 16:0_18:0_RTmz_28.73_614.57167,28.73,614.57167,[M+NH4]+,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,34,0,0,Very Low,2,1
38290,30.573_642.60279,DG 36:0_RTmz_30.573_642.60279,30.573,642.60279,[M+NH4]+,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,36,0,0,Very Low,2,1
38291,32.265_698.60788,DG 40:0_RTmz_32.265_698.60788,32.265,698.60788,[M+NH4]+,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,40,0,0,Very Low,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38292,32.394_698.60806,DG 40:0_RTmz_32.394_698.60806,32.394,698.60806,[M+NH4]+,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,40,0,0,Very Low,2,"0; HighRsd, LowPeakQualityScore, NoLinearRangeFound"
38293,24.538_584.52462,DG 32:1_RTmz_24.538_584.52462,24.538,584.52462,[M+NH4]+,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,32,1,0.5,Very Low,2,1
38294,25.497_584.50321,DG 32:1_RTmz_25.497_584.50321,25.497,584.50321,[M+NH4]+,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,32,1,0.5,Very Low,2,1
38295,25.575_598.54032,DG 33:1_RTmz_25.575_598.54032,25.575,598.54032,[M+NH4]+,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,33,1,0.5,Very Low,2,1
38296,27.77_626.5714,DG 35:1_RTmz_27.77_626.5714,27.77,626.5714,[M+NH4]+,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,35,1,0.5,Very Low,2,1
38297,28.9_640.5871,DG 18:1_18:0_RTmz_28.9_640.5871,28.9,640.5871,[M+NH4]+,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,36,1,0.5,Very Low,2,1
38298,29.124_668.61846,DG 18:1_20:0_RTmz_29.124_668.61846,29.124,668.61846,[M+NH4]+,Glycerolipids,DG,Diradylglycerols,Diacylglycerols,38,1,0.5,Very Low,2,"0; HighRTModelError, LowPeakQualityScore"
